Iteration,Distance,Target,Prediction RFC,Prediction Decision Tree,Accuracy RFC,Accuracy Decision Tree
0,0.01,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.973,0.973
1,0.02,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.96
2,0.03,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.98
3,0.04,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.987
4,0.05,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.98,0.987
5,0.06,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.993,0.987
6,0.07,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.987
7,0.08,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.98
8,0.09,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.98
9,0.1,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.993,0.987
10,0.11,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.987
11,0.12,0,[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2],0.987,0.987
