Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,442.2460114,3.5,1.4,0.2,Iris-setosa
0,406.690687,3.0,1.4,0.2,Iris-setosa
0,442.2670483,3.2,1.3,0.2,Iris-setosa
0,286.5405586,3.1,1.5,0.2,Iris-setosa
0,352.1907699,3.6,1.4,0.2,Iris-setosa
0,318.125407,3.9,1.7,0.4,Iris-setosa
0,310.1460715,3.4,1.4,0.3,Iris-setosa
0,332.4554716,3.4,1.5,0.2,Iris-setosa
0,323.1896072,2.9,1.4,0.2,Iris-setosa
0,366.9648423,3.1,1.5,0.1,Iris-setosa
0,449.4545811,3.7,1.5,0.2,Iris-setosa
0,301.3222176,3.4,1.6,0.2,Iris-setosa
0,276.6108288,3.0,1.4,0.1,Iris-setosa
0,338.8575454,3.0,1.1,0.1,Iris-setosa
0,387.7989307,4.0,1.2,0.2,Iris-setosa
0,261.5543311,4.4,1.5,0.4,Iris-setosa
0,403.0839752,3.9,1.3,0.4,Iris-setosa
0,354.2939396,3.5,1.4,0.3,Iris-setosa
0,304.2844667,3.8,1.7,0.3,Iris-setosa
0,418.6985723,3.8,1.5,0.3,Iris-setosa
0,354.1769124,3.4,1.7,0.2,Iris-setosa
0,330.4784385,3.7,1.5,0.4,Iris-setosa
0,397.1149759,3.6,1.0,0.2,Iris-setosa
0,301.5077895,3.3,1.7,0.5,Iris-setosa
0,447.1345225,3.4,1.9,0.2,Iris-setosa
0,368.2242844,3.0,1.6,0.2,Iris-setosa
0,340.055218,3.4,1.6,0.4,Iris-setosa
0,336.9238696,3.5,1.5,0.2,Iris-setosa
0,347.7500583,3.4,1.4,0.2,Iris-setosa
0,358.5919148,3.2,1.6,0.2,Iris-setosa
0,429.770355,3.1,1.6,0.2,Iris-setosa
0,307.5327392,3.4,1.5,0.4,Iris-setosa
0,364.2307798,4.1,1.5,0.1,Iris-setosa
0,350.1827545,4.2,1.4,0.2,Iris-setosa
0,253.8420284,3.1,1.5,0.1,Iris-setosa
0,249.7402266,3.2,1.2,0.2,Iris-setosa
0,305.298843,3.5,1.3,0.2,Iris-setosa
0,366.0666742,3.1,1.5,0.1,Iris-setosa
0,405.9365937,3.0,1.3,0.2,Iris-setosa
0,287.2643272,3.4,1.5,0.2,Iris-setosa
0,397.094114,3.5,1.3,0.3,Iris-setosa
0,364.1030896,2.3,1.3,0.3,Iris-setosa
0,375.2501319,3.2,1.3,0.2,Iris-setosa
0,368.4062138,3.5,1.6,0.6,Iris-setosa
0,436.5298989,3.8,1.9,0.4,Iris-setosa
0,330.2283748,3.0,1.4,0.3,Iris-setosa
0,375.4472798,3.8,1.6,0.2,Iris-setosa
0,260.5126753,3.2,1.4,0.2,Iris-setosa
0,330.0086832,3.7,1.5,0.2,Iris-setosa
0,311.9967579,3.3,1.4,0.2,Iris-setosa
0,317.6167119,3.2,4.7,1.4,Iris-versicolor
0,508.1289326,3.2,4.5,1.5,Iris-versicolor
0,403.1942717,3.1,4.9,1.5,Iris-versicolor
0,333.2625321,2.3,4.0,1.3,Iris-versicolor
0,478.3109708,2.8,4.6,1.5,Iris-versicolor
0,306.8118747,2.8,4.5,1.3,Iris-versicolor
0,311.6445775,3.3,4.7,1.6,Iris-versicolor
0,333.3813698,2.4,3.3,1.0,Iris-versicolor
0,328.4888612,2.9,4.6,1.3,Iris-versicolor
0,225.629541,2.7,3.9,1.4,Iris-versicolor
0,348.5579747,2.0,3.5,1.0,Iris-versicolor
0,312.6013291,3.0,4.2,1.5,Iris-versicolor
0,443.8222908,2.2,4.0,1.0,Iris-versicolor
0,342.5767105,2.9,4.7,1.4,Iris-versicolor
0,373.3428463,2.9,3.6,1.3,Iris-versicolor
0,345.9492049,3.1,4.4,1.4,Iris-versicolor
0,332.2676409,3.0,4.5,1.5,Iris-versicolor
0,443.5159353,2.7,4.1,1.0,Iris-versicolor
0,321.1271422,2.2,4.5,1.5,Iris-versicolor
0,387.3096951,2.5,3.9,1.1,Iris-versicolor
0,451.5261542,3.2,4.8,1.8,Iris-versicolor
0,383.8002498,2.8,4.0,1.3,Iris-versicolor
0,379.3178462,2.5,4.9,1.5,Iris-versicolor
0,373.235638,2.8,4.7,1.2,Iris-versicolor
0,309.9772864,2.9,4.3,1.3,Iris-versicolor
1,649.541485,3.0,4.4,1.4,Iris-versicolor
