class,majoraxislength,perimeter,convexarea,area
0,442.2460114,1184.04,90546,87524
0,406.690687,1121.786,78789,75166
0,442.2670483,1208.575,93717,90856
0,286.5405586,844.162,47336,45928
0,352.1907699,1073.251,81463,79408
0,318.125407,881.836,51368,49242
0,310.1460715,823.796,43904,42492
0,332.4554716,933.366,62329,60952
0,323.1896072,849.728,44743,42256
0,366.9648423,981.544,66125,64380
0,449.4545811,1176.305,84460,80437
0,301.3222176,818.873,45021,43725
0,276.6108288,803.748,45133,43441
0,338.8575454,1042.77,78842,76792
0,387.7989307,1084.729,76807,74167
0,261.5543311,751.413,35794,33565
0,403.0839752,1028.445,66419,64670
0,354.2939396,981.509,66713,64762
0,304.2844667,814.68,44714,43295
0,418.6985723,1061.321,72363,70699
0,354.1769124,1035.501,71849,69726
0,330.4784385,928.272,59365,57346
0,397.1149759,1106.355,84427,82028
0,301.5077895,971.769,64732,61251
0,447.1345225,1181.921,97865,96277
0,368.2242844,1059.186,77493,75620
0,340.055218,1010.474,74545,73167
0,336.9238696,964.603,62492,60847
0,347.7500583,1063.868,82552,81021
0,358.5919148,982.788,63250,59902
0,429.770355,1162.877,90715,88745
0,307.5327392,828.697,43838,41809
0,364.2307798,1075.792,77541,75329
0,350.1827545,972.472,63397,61600
0,253.8420284,844.312,48275,46427
0,249.7402266,784.912,43096,40861
0,305.298843,926.095,57724,55827
0,366.0666742,968.729,56450,54182
0,405.9365937,1100.676,79220,77468
0,287.2643272,843.764,50880,49882
0,397.094114,1201.39,97988,95245
0,364.1030896,1036.94,73265,71464
0,375.2501319,1095.283,79255,77055
0,368.4062138,1135.662,93772,92384
0,436.5298989,1141.189,80138,77310
0,330.2283748,992.114,60232,57580
0,375.4472798,1022.568,71321,69708
0,260.5126753,790.427,43114,41502
0,330.0086832,870.387,47802,45800
0,311.9967579,902.624,54175,52623
0,317.6167119,845.786,46400,44939
0,508.1289326,1340.897,118314,114648
0,403.1942717,1030.155,67372,65727
0,333.2625321,901.102,48787,45683
0,478.3109708,1298.188,113256,111450
0,306.8118747,861.58,49203,47581
0,311.6445775,952.023,59943,57127
0,333.3813698,936.371,55456,53006
0,328.4888612,1039.551,72223,69060
0,225.629541,619.074,26139,25387
0,348.5579747,1003.374,69097,66774
0,312.6013291,868.06,50166,47839
0,443.8222908,1157.33,81718,78571
0,342.5767105,997.989,66649,64717
0,373.3428463,990.547,62213,60462
0,345.9492049,981.517,61464,59370
0,332.2676409,912.153,55539,54056
0,443.5159353,1179.694,91201,89235
0,321.1271422,903.308,52913,51727
0,387.3096951,1069.77,74045,71595
0,451.5261542,1255.245,99256,95347
0,383.8002498,1054.198,64346,60449
0,379.3178462,1086.857,72895,69006
0,373.235638,1049.093,70759,68520
0,309.9772864,894.48,54438,52731
1,649.541485,1590.354,142650,137583
1,533.2928563,1432.006,123587,117592
1,487.1782819,1276.807,99166,95546
1,446.7052035,1216.979,100113,96582
1,403.7012948,1083.477,67286,61409
1,585.9280742,1530.315,158371,154242
1,600.7662711,1497.515,138133,134303
1,528.4003254,1366.74,115602,112378
1,439.9605034,1373.537,128307,124579
1,507.3808994,1367.331,93706,83107
1,508.7478956,1325.947,110611,107178
1,449.5559014,1177.714,68813,64391
1,659.4426082,1552.54,132802,126781
1,323.5892546,836.625,46532,45051
1,612.7444115,1486.769,123463,119026
1,402.3102017,1051.553,70809,67579
1,559.5992129,1383.647,101539,97019
1,740.1087099,1791.568,192699,184784
1,656.0993813,1685.283,174282,168276
1,755.0129141,1893.414,204472,195383
1,418.9978869,1075.404,69700,65253
1,471.8135294,1322.814,123486,120255
1,485.1026458,1305.144,111765,108161
1,613.8737446,1604.103,161901,157877
1,440.8337404,1170.091,86346,83800
1,619.9584724,1652.694,180994,177264
1,530.3040552,1423.997,130649,127245
1,455.6058765,1306.577,112497,108314
1,572.8016018,1446.923,132108,128947
1,636.7524368,1870.28,209580,189637
1,604.1144233,1529.79,141818,137508
1,365.8032415,1087.034,78359,75173
1,488.4888558,1351.422,120546,115859
1,374.7201638,1190.813,95920,92188
1,536.606993,1582.146,159063,153824
1,437.0139693,1182.575,89018,85492
1,464.3323636,1306.455,111089,106312
1,984.0454912,2697.753,278217,210923
1,507.1433962,1262.578,93549,89138
1,465.1014658,1199.017,86859,83567
1,531.3732054,1559.214,174277,171256
1,419.9536962,1131.54,80497,77105
1,457.5698723,1269.066,104186,100443
1,424.472024,1117.107,76975,72606
1,457.5464724,1159.779,86694,83555
1,588.0092142,1535.287,150416,146268
1,559.2667826,1394.088,118098,113608
1,424.7637094,1130.395,78952,75058
1,612.665318,1480.951,125638,116406
1,480.7789636,1289.209,104255,100319
1,469.2765081,1422.014,146328,143386
1,660.3641751,1654.986,169000,164782
1,400.4139594,1101.879,76252,71639
1,575.6823646,1507.939,144300,141220
1,514.4361539,1277.388,92317,88290
1,515.3952494,1331.797,106888,102569
1,997.2919406,2303.69,221527,182160
1,675.0983445,1755.167,212813,208264
1,641.5097389,1544.712,136793,133101
1,719.5058781,1781.378,174718,169009
1,450.8275297,1192.014,85000,81901
1,457.9252352,1226.244,85201,80678
1,440.9818348,1268.05,105429,101661
1,451.0060488,1182.274,84780,82207
1,602.3077749,1580.961,168292,166275
1,621.0126864,1698.394,192922,188651
1,684.602958,1827.9,209242,202118
1,468.9040381,1244.252,100169,97375
1,442.7453136,1081.68,67199,64303
1,440.4743232,1173.259,89920,86715
1,655.3989662,1626.909,160709,155702
1,458.8440074,1202.583,88521,84295
1,699.6182638,1754.378,181412,177206
1,518.7876139,1365.577,115550,110897
1,360.815292,980.39,59797,56903
